"Tablica 1.2 Dolasci i noæenja domaæih i stranih turista, županije, mjeseèno"

"Županije";"Mjesec";"Tip";"2021 Domaæi";"2021 Strani"
"DUBROVAÈKO-NERETVANSKA";"I";"Noæenja";3851;4968
"DUBROVAÈKO-NERETVANSKA";"II";"Noæenja";5666;4486
"DUBROVAÈKO-NERETVANSKA";"III";"Noæenja";6130;8744
"DUBROVAÈKO-NERETVANSKA";"IV";"Noæenja";11918;20594
"DUBROVAÈKO-NERETVANSKA";"V";"Noæenja";15270;64643
"DUBROVAÈKO-NERETVANSKA";"VI";"Noæenja";49178;320267
"DUBROVAÈKO-NERETVANSKA";"VII";"Noæenja";116284;1192511
"DUBROVAÈKO-NERETVANSKA";"VIII";"Noæenja";177024;1557115
"DUBROVAÈKO-NERETVANSKA";"IX";"Noæenja";41524;770271
"DUBROVAÈKO-NERETVANSKA";"X";"Noæenja";21489;248328
"DUBROVAÈKO-NERETVANSKA";"XI";"Noæenja";8698;27168
"DUBROVAÈKO-NERETVANSKA";"XII";"Noæenja";8609;19702
